transaction_id, timestamp, loginAttempts, amount
TX000003,2023-07-10T18:16:08,1,126,29
TX000018,2023-12-14T18:32:14,1,492,93
TX000020,2023-06-08T18:18:50,1,71,48
TX000022,2023-08-11T18:31:31,1,85,77
TX000023,2023-06-06T18:54:15,1,52,20
TX000024,2023-05-02T18:25:46,3,345,84
TX000027,2023-04-17T16:37:01,5,246,93
TX000041,2023-07-31T18:39:50,1,328,47
TX000043,2023-04-20T18:57:43,1,241,42
TX000061,2023-10-06T18:44:37,1,568,52
TX000068,2023-04-18T18:40:47,1,521,06
TX000073,2023-07-04T18:20:33,1,24,77
TX000079,2023-12-18T18:46:27,1,120,29
TX000080,2023-07-17T18:54:31,1,174,25
TX000081,2023-06-19T18:22:10,1,183,71
TX000089,2023-06-22T18:37:29,1,9,61
TX000092,2023-10-02T16:36:10,4,223,85
TX000093,2023-03-27T18:16:04,1,230,66
TX000103,2023-10-16T18:35:11,1,83,24
TX000109,2023-11-27T18:32:49,1,503,76
TX000113,2023-04-20T18:26:50,1,254,37
TX000141,2023-10-23T18:38:15,1,6,00
TX000148,2023-04-13T18:37:48,5,514,95
TX000151,2023-07-24T18:08:43,1,69,40
TX000163,2023-05-26T18:15:08,1,60,65
TX000165,2023-11-24T18:51:32,1,117,97
TX000166,2023-01-31T18:31:22,1,231,91
TX000172,2023-08-25T18:01:38,1,119,18
TX000177,2023-02-10T18:07:07,1,1362,55
TX000203,2023-11-15T18:57:38,1,313,82
TX000209,2023-02-17T18:16:05,1,521,15
TX000214,2023-03-20T18:28:48,1,116,86
TX000215,2023-03-03T18:02:52,1,386,81
TX000219,2023-07-07T18:03:43,1,890,24
TX000224,2023-06-26T18:25:21,1,457,30
TX000230,2023-11-29T18:10:30,1,630,24
TX000232,2023-02-20T18:41:43,3,705,60
TX000233,2023-10-23T18:54:48,1,217,50
TX000235,2023-11-13T18:26:24,1,5,25
TX000251,2023-09-04T18:13:25,1,760,53
TX000260,2023-05-26T18:12:50,1,312,88
TX000262,2023-08-14T18:13:38,1,23,30
TX000263,2023-02-08T18:18:07,1,47,38
TX000266,2023-04-05T18:37:10,1,12,82
TX000267,2023-04-17T16:50:45,4,66,90
TX000269,2023-07-03T18:01,1,270,72
TX000273,2023-03-28T18:30:25,1,44,52
TX000275,2023-12-20T16:08:02,5,1176,28
TX000277,2023-04-24T18:33:29,1,167,14
TX000290,2023-09-29T18:54:28,1,48,72
TX000292,2023-07-21T18:54:14,1,1036,21
TX000293,2023-10-09T18:28:04,1,443,79
TX000294,2023-12-01T18:46:28,1,365,14
TX000296,2023-08-21T18:09:24,1,20,54
TX000313,2023-06-16T18:58:50,1,100,66
TX000316,2023-06-26T18:57:37,1,711,30
TX000322,2023-08-11T18:20:48,1,179,43
TX000355,2023-02-01T18:47:20,1,131,43
TX000356,2023-10-09T18:43:04,1,516,72
TX000379,2023-11-23T18:00,1,295,50
TX000386,2023-07-10T18:16:07,1,101,04
TX000390,2023-08-25T18:47:28,1,123,85
TX000395,2023-12-14T18:52:54,5,6,30
TX000400,2023-06-26T18:25:14,1,268,39
TX000401,2023-09-12T16:50:21,4,194,85
TX000402,2023-03-29T18:12:17,1,137,35
